text,sentiment,prep_processed_text
hate overthinking e v e r y t h i n g like i jus' wanna be happy pls,joy,hate overthinke e v e r y t h n g like jus wanna happy pls
@chelseafc let them know it's the ,sadness,let know
ACT 4 #anxiety &amp; #depression group. @livingwellihc beginning Mon October 17 for 6 weeks. Contact me to register now! #mindfulness #Halifax,fear,ACT 4 anxiety amp depression group begin Mon October 17 6 week contact register mindfulness Halifax
"My leg feels like it's gonna burst, yet I'm still expected to go into work:):)",anger,leg feel like gon na burst expect work
@trendykittykat Some people would rather hang on to their indignant anger. *weary sigh*,anger,people hang indignant anger weary sigh
That old lady is cray cray #scared #BellaIsSoCute #awe #Empire,fear,old lady cray cray scare bellaissocute awe empire
Hahahah what a horrific penalty from bayer. 5 feet wide. Jesus,fear,Hahahah horrific penalty bayer 5 foot wide Jesus
as a very depressed and suicidal person seeing someone sing about their own depressing life yet having fun is very relatable and encouraging,sadness,depressed suicidal person see sing depressing life have fun relatable encourage
@TheCatHeSay I may be #alwayshungry but I haven't sunk that low yet!! @Thereluctantcat,sadness,alwayshungry sink low
@JTregManc it's fair to say he's been a bit timid compared to what I've been known to see from him,fear,fair bit timid compare know
Inner conflict happens when we are at odds with ourselves. Honor your values and priorities.  #innerconflict #conflict #values,anger,inner conflict happen odd honor value priority innerconflict conflict value
"@David_Stepp Any other election, fine vote 3rd party as useless as it is but not this one. I hesitate to say it'd be selfish but...",fear,election fine vote 3rd party useless hesitate selfish
@ksmitely @CitizenMeh I feel strongly that we need to work together to right this dreadful wrong.,fear,feel strongly need work right dreadful wrong
#GADOT please put a left turn signal at Williams and Ivan Allen Jr Blvd. This is absolutely ridiculous #ATLtraffic #horrible,fear,GADOT left turn signal Williams Ivan Allen Jr Blvd absolutely ridiculous atltraffic horrible
"I'm due for a big change! I've prayed on it, I think I deserve it #positivity #optimism",joy,big change pray think deserve positivity optimism
"Charlotte and a friend just climbed to the top of a windmill! Think the view was easy, breezy, beautiful? @PlayHollywoodU",joy,Charlotte friend climb windmill think view easy breezy beautiful
One of my favorite classic cars is the Plymouth fiery.,anger,favorite classic car Plymouth fiery
"@doubtcaspar babe :(( remember I'm ALWAYS here if u need a little cheering up or talk, ily lotsðŸ’˜",joy,babe remember u need little cheering talk ily
Love how cheerful that woman is about storing someone else's furniture for an eternity. I'd have sold it by now. #GrandDesigns,joy,love cheerful woman store furniture eternity sell granddesign
@88Palouseriver @ABC @NRA I rejoice everything time some moron is taken out of the genetics pool.,joy,rejoice time moron take genetic pool
Laudrup and his evil white companions rejoice.,joy,Laudrup evil white companion rejoice
Ronaldo has been shocking. He's tried to do skill twice and he's nearly fallen over both times,fear,Ronaldo shocking try skill twice nearly fallen time
"@ToddDoug @Ziggomattic Yeah, this actually supports why I tweeted in this thread initially. Because of the article's righteous indignation.",anger,yeah actually support tweet thread initially article righteous indignation
@SoCalValerie this one was Apples attempt to make muslims happy ðŸ•‹,joy,apple attempt muslims happy
@MidgetTamer @RAIDERS @52Mack_ Make him be a bully. Sit him in a room by himself and let him look at Debo all day.,fear,bully sit room let look Debo day
@SusannahSpot I could pop round ,fear,pop round
@STLouis_RamsFan their whole team is limited when they're on the field. ,fear,team limited field
The best revenge is massive success.,anger,good revenge massive success
Bring back the heyday #NominateBunkface,joy,bring heyday NominateBunkface
You're so cute @katienolan #truelove #hilarious @GarbageTime #beautiful &amp; #graceful never heard explicits spoken with such elegance. #Mingo,joy,cute truelove hilarious beautiful amp graceful hear explicit speak elegance Mingo
@Oooooo_Donna @sturgishigh @politicususa   @CNN took its first baby  step now let's hope they will start running,fear,take baby step let hope start run
Have wee pop socks on and they KEEP FALLING OFF INSIDE MY SHOES #rage,anger,wee pop sock fall INSIDE SHOES rage
"@feistyarcher -trouble,' he feigned anger and gave her a look that told her to behave. He knew she wouldn't though, and that was one of -",anger,feign anger give look tell behave know
"@Daniel_Sankey @hayleyp79 Haha.... Actually, after the Doggies I'm barracking for Anyone But GWS! #bitter",anger,Haha actually Doggies barrack GWS bitter
"In addition to fiction, wish me luck on my research paper this semester. 15-20 pages, oh boy. ",fear,addition fiction wish luck research paper semester 15 20 page oh boy
@WSJNordics You make the world a more joyful place. #TheNiceBot,joy,world joyful place thenicebot
"In the name of our Lord &amp; Saviour Harambe we pray, bless all apes across the world.\n\nHear our solemn oaths and pardon sympathetic hominids.",sadness,Lord amp Saviour Harambe pray bless ape solemn oath pardon sympathetic hominid
Getting terrible download speeds for fifa smh.,fear,get terrible download speed fifa smh
"It's pretty clear I can't stand @HillaryClinton, no tolerance for habitual liars. Not a Trump fan either so what's a citizen to do? #despair",sadness,pretty clear stand tolerance habitual liar Trump fan citizen despair
"@followAdamA looking back on recent tweets seen, this one right here is great #perfect #hilarious #Speechless #deal",joy,look recent tweet see right great perfect hilarious Speechless deal
@laura221b I've left it for my dad to deal with ðŸ˜‚ My work is done as soon as it's felt the wrath of my slipper ðŸ˜·,anger,leave dad deal work soon feel wrath slipper
"@astockeyWTAE @SonniAbatta she is terrific at her job, where is she headed-- I missed that?",fear,terrific job miss
It's meant to be!! #happy #happy,joy,mean happy happy
"@BBCNews ðŸ˜ scared of their own horror story they wrote, afraid of the #terror they spread, will #europe start WW3 in 2017 anniversary of WW1",fear,scared horror story write afraid terror spread europe start WW3 2017 anniversary WW1
@Nick_Offerman I'll be there!! Can't wait for all the !,joy,wait
@TheZantarin Then maybe we should keep our White mouths shut and let the people being targeted speak and mourn.,sadness,maybe White mouth shut let people target speak mourn
@tchop__StL @YouTube \nI get sick to my stomach everytime I see this video &amp; for the helicopter crew to make such comments is revolting.,fear,sick stomach everytime video amp helicopter crew comment revolt
Fellaini has been playing ahead of this guy...just let that sink in,sadness,Fellaini play ahead guy let sink
"If you truly want more of God in your life, it requires letting go of some of the old things, to allow new things to flourish. #stop #start",fear,truly want God life require let old thing allow new thing flourish stop start
@patthemanager how could I work with @chancetherapper . ? #serious,sadness,work
"What do Aquila, Ajahnae, and Euriechsa have in common besides ridiculously stupid,horrible,ugly, God awful names? Tracey IS NOT their father",fear,Aquila Ajahnae Euriechsa common ridiculously stupid horrible ugly God awful name Tracey father
Fosu-Mensa is having a nightmare 15 minutes. Difference between Premier League reserves and League 1 is still wide,fear,Fosu Mensa have nightmare 15 minute difference Premier League reserve League 1 wide
In need of a serious nap rn,sadness,need nap rn
@tgshepherdvan I'm not there yet. Hasn't sunk in yet. Rest up.,sadness,sink rest
Pakistan is the biggest victim of terrorism - Nawaz Sharif \nReally? It should have been biggest creator of terrorism. #UNGA,fear,Pakistan big victim terrorism Nawaz Sharif big creator terrorism UNGA
Anger is cheap and politeness is expensive. Don't expect everybody to be polite. #ThoughtfulThursday #anger #politeness,anger,anger cheap politeness expensive expect everybody polite ThoughtfulThursday anger politeness
@Rbrutti what a #happy looking #couple !,joy,happy look couple
God we need a new goal keeper! Theyâ€™re both horrific.,fear,God need new goal keeper theyaEUR horrific
Because you offended by the lies of Alexandria Goddard doesn't mean that I'm Deric's friend or anything else. Purely a fishin expedition.,anger,offend lie Alexandria Goddard mean Deric friend purely fishin expedition
@StutteringGiant at least his character in fast and furious pumped some adrenaline into the franchise. But that's about it,anger,character fast furious pump adrenaline franchise
@l1ght__eyes u tried boiling em takes years too,anger,u try boil em take year
The horrible puns for the day have been made. I shall return to my cage in a dark corner by myself while crying &amp; laughing hysterical now.,sadness,horrible pun day shall return cage dark corner cry amp laugh hysterical
I really want to go for fright night but I really don't ðŸ˜,fear,want fright night
@thatsabingo grim really,sadness,grim
Add Donte Moncrief to my dismal situation #blessed.,sadness,add Donte Moncrief dismal situation bless
Nawaz Sharif's UN should start #à¤¸à¤¤à¥à¤¯_à¤¬à¥‹à¤§_à¤¯à¤¾à¤¤à¥à¤°à¤¾ as after all his #UNGA speech has awaken the world about their role in sponsoring #terrorism,fear,Nawaz Sharif UN start deg UNGA speech awaken world role sponsor terrorism
@Wild_Lucario_ *chuckles* did I scare you?,fear,chuckle scare
Online now !!!:) all day come play with me !! I'm happy happy horny playful sweet sour;),joy,online day come play happy happy horny playful sweet sour
Well i did hear once before that girls are attracted to men that look like their dad!  ðŸ‘Œ #serious,sadness,hear girl attract man look like dad
Obama admin rejects Texas plan to have refugees vetted for terrorism so Texas pulls of of fed refugee resettlement program. Aiding #terror.,fear,Obama admin reject Texas plan refugee vet terrorism Texas pull fed refugee resettlement program aid terror
@jellzybean cheer up punkin',joy,cheer punkin
@footballmcd agreed. Memphis looks lively also,joy,agree memphis look lively
@realDonaldTrump She blamed Benghazi on a YouTube video. She blamed emails on #ColinPowell. Now she blames #terrorism on you. #weakHillary,fear,blame Benghazi YouTube video blame email ColinPowell blame terrorism weakhillary
Itching something #serious RN haven't slept but considering taking like 6 Benadryl for a 20 min nap I am itching SO BADLY wow,sadness,itch rn sleep consider take like 6 Benadryl 20 min nap itch BADLY wow
... in the same speech.  However he did mention foreign hand and funding in terrorism in the country. ðŸ‘\n#ProudOfYouPrimeMinister,fear,speech mention foreign hand funding terrorism country
"Having a nail half hanging off is absolutely fucking grim, even with my acrylic holding it on ðŸ˜·ðŸ˜·",sadness,have nail half hang absolutely fucking grim acrylic hold
Love all the ex United managers on Twitter who form our fanbase. Honestly I despair at times. Just back the fucking team eh #MUFC,sadness,love ex United manager Twitter form fanbase honestly despair time fucking team eh mufc
What terrible thing to see and have no vision-\n\nHelen Keller-\n\n-Begin with the end in mind-\n\nStephen Covey-\n\n #whereareugoing ,anger,terrible thing Begin end whereareugoing
@m_warner21 Yikes. The wrath of Maddie...,anger,Yikes wrath Maddie
"Rt @yoelamite i need that one back, that whole cd was hard, the one with a #rage flew through, rhyme flow, n the 1 u speak on the dollar",anger,Rt need cd hard rage fly rhyme flow n 1 u speak dollar
@marthalyssa yep. LOL #bitter,anger,yep lol bitter
@TELUSsupport any tips on why our wifi is terrible the past week? Slow or dropping out continuously - NW Calgary ðŸ˜•,fear,tip wifi terrible past week slow drop continuously NW Calgary
@Vixen85Webster yep &amp; I stayed in pjs all day too lol x,sadness,yep amp stay pjs day lol x
@crumpledlinen he chirp,joy,chirp
I have a rage rage ep 2 coming out soon I'll keep you posted on it #YouTube #youtubegaming ,anger,rage rage ep 2 come soon post YouTube youtubegaming
@Ms_HeartAttack holy shit it just a bee sting like fuck you're not dying,anger,holy shit bee sting like fuck die
@rkuuleiq Fear is best/beast product of God/s. :) #aTheism #theism #biBle #afraid #christianity #hell #heaven #purgatory #psychology #jesus,fear,fear good beast product God aTheism theism biBle afraid christianity hell heaven purgatory psychology jesus
her; i want a playful relationship\nme; *kicks her off the couch*,joy,want playful kick couch
The fact I haven't had to wear a bra for a week and knowing I'll have to start wearing one again after tomorrow is depressing ðŸ™„ðŸ™„,sadness,fact wear bra week know start wear tomorrow depressing dY
"Mate the thing I get excited about in my profession are mad. A client said she opened her bowels, I'm rejoicing",joy,mate thing excited profession mad client say open bowel rejoice
You don't know what to expect by Brendon's video lmao LA devotee video got me shook #panic,fear,know expect Brendon video lmao LA devotee video get shake panic
@gowoonist i got that but you were alarming,fear,get alarm
"@Klipto the orange one is #poisonous and #bitter. You shouldn't judge the #blue one by how it looks but by how it tastes, #delicious.",anger,orange poisonous bitter judge blue look taste delicious
@TalesofanAlfa @David_Milloy \nI like your thinking...but sadly no - that's the shed ðŸ˜¢,sadness,like thinking sadly shed
Day 9 and I am elated because I'm taking PTO tomorrow so I'm doneeeee. But:,joy,day 9 elated take PTO tomorrow doneeeee
Corbyn loses and I walk up to a crying Corbyn supporter and whisper\n\n'Don't mourn. Organise'\n\nAnd laugh and laugh,sadness,Corbyn lose walk cry Corbyn supporter mourn laugh laugh
75' Tierney reaches a deep cross to the back post and plays it back across but the Alloa defence clear. Celtic relentless here.,anger,75 tierney reach deep cross post play Alloa defence clear celtic relentless
"@ynnsanity Maybe that's why, we're asked to study hard and get a job that we like. That way it wouldn't be that dreadful.",fear,maybe ask study hard job like way dreadful
@AaronGoodwin seriously dude buy some bubble tape for your phones. #snap broke another phone,anger,seriously dude buy bubble tape phone snap break phone
@ReserveHinata tend to them he's going to get infections. \n\nHe's frowning and looking down as he does this. \nIt must hurt damn.],sadness,tend go infection frowning look hurt damn
So depressing that it's darker so much earlier now,sadness,depressing dark early
"@latenightdaryun pfft, as if anyone undergoing the constant ongoing horror of sapient consciousness has any trust in themself anyway",fear,pfft undergo constant ongoing horror sapient consciousness trust themself
Queen Bey will be smiling over sixth this afternoon,joy,Queen Bey smile sixth afternoon
"@JogglingDroid @BrancoCarmine @Otto_English yeah, #UK was quite the #bully",fear,yeah UK bully
"I am a simple human being who just really loves @aliciakeys like truly, madly, deeply rejoicing in her existence, class and queendom",joy,simple human love like truly madly deeply rejoice existence class queendom
"@big_SL8 Show some respect, that's all...  If u havent go to war u cant say anything.. U havent lost friends and mates on war, so Ahut it!!",sadness,respect u nt war u nt u nt lose friend mate war ahut
@excalibater I'm very shy irl and lately I feel like everyone's doing their own thing and I don't fit in anywhere and I feel lonely :(,fear,shy irl lately feel like thing fit feel lonely
@BraveHermione_ + and gives it to hear] 'Please.. I can tell you anything if you want to listen. maybe you're dont afraid anymore of me +,fear,give hear tell want listen maybe nt afraid anymore
@airvistara as always it was indeed a wonderful experience flying with you guys today #bestinbusiness  #happyme,joy,wonderful experience fly guy today bestinbusiness happyme
"@iSmashFizzle that's me all the time. I carry ginger candy, peppermint oil and sea-bands at all times ",fear,time carry ginger candy peppermint oil sea band time
@LmRyle @tomcolicchio @realDonaldTrump @HillaryClinton @ajjaffe I understand your concerns but look at her foundation contributions #worry,fear,understand concern look foundation contribution worry
"It's not that the man did not know how to juggle, he just didn't have the balls to do it. \n#funny #pun #punny #lol #hilarious",joy,man know juggle ball pun punny lol hilarious
@CarrieLynne2323 totally get it. When you've said no to donuts 13 times one week and lost 0.3 lbs you get discouraged! But it's not linear ðŸ˜˜,sadness,totally say donut 13 time week lose lbs discouraged linear
#ukedchat A4 Just go outside (or to the gym hall) and play! \n#education #playful #learning,joy,ukedchat a4 outside gym hall play playful learn
Someone needs to tell Candice she'll be stuck with that shitty pout if the wind changes. #GBBO,anger,need tell Candice stick shitty pout wind change gbbo
New play through tonight! Pretty much a blind run. Only played the game once and maybe got 2 levels it. #Rage #horror,fear,new play tonight pretty blind run play game maybe get 2 level rage horror
come on let's make em hate ðŸ˜˜make em pout they face ðŸ‘¿ðŸ˜©.,anger,come let em hate em pout face
@DDandDeltaboys will be playing in the Bridge Bar @RameltonWhatsOn this sat (24th Sept) #blues #rhythmandblues #ramelton #donegal,sadness,play Bridge Bar sit 24th Sept blue rhythmandblue ramelton donegal
@notquitefrodo @dominictarason I remember TAs in the gamedev program said he had temper tantrums in class all the time lol,anger,remember ta gamedev program say temper tantrum class time lol
@everycolorbot more like every color looks the same #triggered #colorblind #offended,anger,like color look trigger colorblind offend
@ArizonaCoyotes not to mention the GRA guy stops me but let's the 2 ppl in front of me go. WTF. My blood is boiling.,anger,mention GRA guy stop let 2 ppl WTF blood boil
"#rocklandcounty get to ravis in suffern, ny. Great food, new #chef, terrific atmosphere. Say 'twitter' to server and get free #appetizer",fear,rocklandcounty ravis suffern ny great food new chef terrific atmosphere twitt server free appetizer
induction day tomorrow for pizza express #nervous,fear,induction day tomorrow pizza express nervous
BANG! Gordon #Brown has been accused of abusing a gazillion #rabid parrots!,anger,bang Gordon Brown accuse abuse gazillion rabid parrot
i was just talking about it last week .. how does your outside appearance (ie. dread locks) affect the ability you have to work?,fear,talk week outside appearance ie dread lock affect ability work
"@iSmashFizzle that's me all the time. I carry ginger candy, peppermint oil and sea-bands at all times #anxiety",fear,time carry ginger candy peppermint oil sea band time anxiety
@peacexxanna your nightmare,fear,nightmare
Yo this 3 v 3 overtime in hockey got me sweaty damn this ish exhilarating,joy,Yo 3 v 3 overtime hockey get sweaty damn ish exhilarate
depress ðŸ˜­,sadness,depress
@WestHamUtd poor service tonight to find season ticket holders in the seats we purchased online. Forced to move further away #unhappy,sadness,poor service tonight find season ticket holder seat purchase online force away unhappy
@PriiiincesssE thanks for distracting me from my paper to watch this hilarious video ðŸ˜‚,joy,thank distract paper watch hilarious video
Went n a bodega 4 incense lookd @ the sis behind the counter &amp; it was like a mirror she said where u from I said here she said no originally,anger,go n bodega 4 incense lookd sis counter amp like mirror say u say say originally
"@Meruna_  as a musician, I can tell you that more people get discouraged when learning because of shitty instruments than anything else.",fear,musician tell people discourage learn shitty instrument
Tell me how I'm supposed to feel. #broken #hateful #guilty #love #sadness,sadness,tell suppose feel broken hateful guilty love sadness
We're very busy #coding a whole network manager for #unity3d based on #steamworks networking. #gamedev #indiedev #3amDeadTime #horror #game,fear,busy code network manager unity3d base steamwork networking gamedev indiedev 3amDeadTime horror game
"@Daniel_Sankey @hayleyp79 Haha.... Actually, after the Doggies I'm barracking for Anyone But GWS! ",anger,Haha actually Doggies barrack GWS
I have 1000 rabid grizzly bears I'm going to scatter in neighborhoods all over America.\n\nThey're poor refugees!\n\n#InYourNeighborhoodNotDC,anger,1000 rabid grizzly bear go scatter neighborhood poor
#NewYork: Several #Baloch &amp; Indian activists hold demonstrations outside @UN headquarters demanding Pak to stop exporting #terror into India,fear,NewYork Baloch amp indian activist hold demonstration outside headquarter demand Pak stop export terror India
"@NebulaJoker No, they aren't. Episodes are animated during the week before they air.",joy,episode animate week air
Watch this amazing live.ly broadcast by @paulzimmer #lively #musically,joy,watch amazing broadcast lively musically
It's really alarming when an adult male calls their father 'daddy',fear,alarming adult male call father daddy
@katiewhiskey_ @bradnarok candy corn is the greatest candy in the world when it comes to being objectively terrible,fear,candy corn great candy world come objectively terrible
im so gloomy today,sadness,m gloomy today
r U scared to present in front of the class? severe anxiety... whats That r u sad sometimes?? go get ur depression checked out IMEDIATELY!!!,fear,r u scared present class severe anxiety s r u sad ur depression check IMEDIATELY
Has anyone noticed that @npr stories in recent days all paint positive accomplishments for Trump and challenges for Hillary? #surprised #sad,sadness,notice story recent day paint positive accomplishment Trump challenge Hillary surprised sad
Watch this amazing live.ly broadcast by @thebrandonrobert #lively #musically,joy,watch amazing broadcast lively musically
#Talking about our #Problems is our greatest #Addiction#Break the #habitTalk about ur #Joys#quote  #problemsolving #behappy,joy,talk problem great addictionbreak habitTalk ur joysquote problemsolve behappy
@DaniQays @AJENews ohh.. so here comes sense from terror supporting stone pelting vandalizing ppl who gather b4 protests to announce ...,fear,ohh come sense terror support stone pelt vandalizing ppl gather b4 protest announce
"@iJuvia_ \n\nHearing the noises, Akame opened her eyes and sat up, facing Juvia. She didn't expect at all to see someone around and staid --",sadness,noise Akame open eye sit face Juvia expect staid
"When the sadness leaves you broken in your bed, I will hold you in the depths of your despair, and it's all in the name of love ðŸŽ¶",sadness,sadness leave broken bed hold depth despair love dYZP
The focal points of war lie in #terrorism and the #UN needs to address #violentextremism,fear,focal point war lie terrorism UN need address violentextremism
Am a very old person I can't handle some stuff....lol I just left her there.... Get back to me when you're sober,sadness,old person handle stuff lol leave sober
Police Officers....should NOT have the right to just 'shoot' human beings without provocation. It's wrong.\n\n@ORConservative @MichaelaAngelaD,anger,Police officer right shoot human being provocation
Gonna get some acupuncture today for all my damn anxiety ðŸ™ƒðŸ¤•,fear,gon na acupuncture today damn anxiety dy
@lennyabrahamson May I send you a copy of #HeroTheGreyhound? Either e-book or real paper one! A boy and a greyhound #smiles #tears ,joy,send copy herothegreyhound e book real paper boy greyhound smile tear
@DrSRSheikh: And who asked you to gate crash with your dumb idiosyncrasies when sober people are analyzing a situation!\n@BanoBee @AK_Forty7,sadness,ask gate crash dumb idiosyncrasy sober people analyze
@honevbee close up shots of my ugly mug as I continue to talk about Blaine years after glee has been dead,joy,close shot ugly mug continue talk Blaine year glee dead
@ryyyshh story of my life. #lost,sadness,story life lose
@kymwhitley hello Miss Lady I'm sure today brings you happiness and laughter use your voice also to make us laugh  god knows we need it,joy,hello Miss Lady sure today bring happiness laughter use voice laugh god know need
@crimpoop my adorable and cheerful daughter\nAlways pouring positivity green goo on me\ndare hurt her and you'll see hell //growls\n\n#PandaBot,joy,adorable cheerful pour positivity green goo hurt hell
@cxmbeferre so you WOULDNT date me????? ,anger,WOULDNT date
Holding a #grudge doesn't make you #strong; it makes you #bitter. #Forgiving doesn't make you #weak; it sets you #free.,anger,hold grudge strong make bitter Forgiving weak set free
"Another joyful encounter in Tribez &amp; Castlez! I just met Mouchole, Ogre Cook! Do you want to know who that is? Download the game and find...",joy,joyful encounter Tribez amp Castlez meet Mouchole Ogre Cook want know download game find
"Oh that cheery fucking note, good night shit heads X",joy,oh cheery fucking note good night shit head x
All hell is breaking loose in Charlotte. #CharlotteProtest  #looting,anger,hell break loose Charlotte CharlotteProtest loot
@ImpugnValkyrie *I frown and cup your cheeks in my hands after you step aside.* Angela I care about you. And I don't know how else I can -,anger,frown cup cheek hand step aside Angela care know
Anyway I'm in a car with a furious white men and I have a really funny story to tell when I'm sober ðŸ˜‚,sadness,car furious white man funny story tell sober
It's sad when your man leaves work a little bit late and your worst fear is 'Oh no!! Did he get stopped by the police?!?! ' #sad #ourworld,sadness,sad man leave work little bit late bad fear oh stop police sad ourworld
Recently changed to @firstdirect and its the worst service I've ever encountered nearly require DNA to access anything. #awful ðŸ˜©ðŸ˜©ðŸ˜©,fear,recently change bad service encounter nearly require DNA access awful
i got his bitch depress,sadness,get bitch depress
I dread this drive every Wednesday ðŸ˜©,fear,dread drive Wednesday
not only was that the worst @EGX that's I've attended but worth one of the worst cons I've been to in the last 5 years #terrible,fear,bad attend worth bad con 5 year terrible
Not my fault if I'm more observant than you thought of me to be ! ðŸ˜œ I'm not sorry ðŸ˜ #wisdom #laughter #observingyou #allthetime #becareful ðŸ˜Ž,joy,fault observant think sorry wisdom laughter observingyou allthetime becareful
@NandosSA just received order from @OrderInSA &amp; the chips are under cooked &amp; half raw!!! Usually best part of the meal #notcool #terrible,fear,receive order amp chip cooked amp half raw usually good meal notcool terrible
Idk if it's hella hot in here or I'm nervous,fear,Idk hella hot nervous
Round 2 #panic #pcola,fear,round 2 panic pcola
Some moving clips on youtube tonight of the vigil held at Tulsa Metropolitan Baptist church for #TerenceCruther #justice #anger #sadness,anger,move clip youtube tonight vigil hold Tulsa Metropolitan Baptist church TerenceCruther justice anger sadness
@evanareteos :)) im now writing abt the changing face of sex industry in tr :))) now men will talk to me then! #revenge,anger,m write abt change face sex industry tr man talk revenge
@AlbertBreer @jetswhispers Be sure and switch it over to cable news - cheery,joy,sure switch cable news cheery
@doctorofinfo I was just introducing a little levity to the convo. Yep!,joy,introduce little levity convo yep
I don't know how people can binge watch horror films ...ALONE!ðŸ˜“ðŸ˜°,fear,know people binge watch horror film deg
Just wish I was appreciated for all I do! When is it my turn to be taken care of!! I want a break!! #tired ,sadness,wish appreciate turn take care want break tired
"Don't let fear hold you back from being who you want to be. Use it's power to push you towards your goals. No more fear, just action. #fear",fear,let fear hold want use power push goal fear action fear
"Like if you aggravate me constantly, byeeeeeeee",anger,like aggravate constantly byeeeeeeee
I wonder what would happen if I were to tell some people the truth #savage #uhoh ,anger,wonder happen tell people truth savage uhoh
@SandraTXAS @6bird4 @CajunKangaroo @justanavywife please. Or you could be clouded by your passion. Emotion leads you from the truth.,sadness,cloud passion emotion lead truth
"@Berbaqueue @_indubioproreo shocking work ethic by our players, Rooney stifled by their laziness",fear,shocking work ethic player Rooney stifle laziness
Life long fear of havin a shit and a spider crawls up ya bum,fear,life long fear havin shit spider crawl ya bum
"Tomorrow is going to be a challenge, I have to talk at a freshers fair to STRANGERS ðŸ˜and pick up my new flat keys ",fear,tomorrow go challenge talk fresher fair stranger pick new flat key
"#RiceFODays now I am Alex Butler's class on financial management. Starts off with a great, relevant class discussion: movies and sunk costs",sadness,ricefoday Alex Butler class financial management start great relevant class discussion movie sunk cost
"Be happy not because everything is good, but because you can see the good side of everything  #optimism",joy,happy good good optimism
"My interview went well today, I can't wait to find out what happens.  #excited #interview #jobinterview",fear,interview go today wait find happen excite interview jobinterview
So is texting a guy 'I'm ready for sex now' considered flirting?' #shocking,fear,texte guy ready sex consider flirt shocking
Lady gaga fucking followed i have been waiting for this day for ages it fucking happened im shaking thank you so much @ladygaga â¤ï¸,fear,lady gaga fucking follow wait day age fucking happen m shake thank
Hennessey - dreadful. Mutch - is he even on the pitch? Fryers - out of his depth unfortunately. #CPFC,sadness,hennessey dreadful Mutch pitch fryers depth unfortunately cpfc
My view of the human being is as a dynamic expression of the Cosmos we exist within #humanism ,fear,view human dynamic expression Cosmos exist humanism
"@GucciShade @KellyannePolls @ABC So?  Who cares?  Who cares about tax forms, too.  I believe terrorism and jobs are what is important.",fear,care care tax form believe terrorism job important
she's always so insensitive whenever i grieve idgi,sadness,insensitive grieve idgi
"@jk_rowling never thought an angry oompa loompa would be my Boggart, but there you have it. #boggart #PresidentTrump ",fear,think angry oompa loompa Boggart boggart PresidentTrump
"How can I tell Happy Anniversary, when u are not happy..  #ampalaya #paitpaitanangpeg",anger,tell Happy Anniversary u happy ampalaya paitpaitanangpeg
"Approaching #terrorism from an anti-racism POV is futile, instead promote prejudice towards racism. That way we are all on the battlefield.",fear,approach terrorism anti racism POV futile instead promote prejudice racism way battlefield
Who got madden 17 or 2k17 ps4 add TrackdawgT lets run it,anger,get madden 17 2k17 ps4 add TrackdawgT lets run
#burning the last of @Yan,anger,burn
Standard Candice starting the show with a pout #startasyoumeantogoon #GBBO,sadness,Standard Candice start pout startasyoumeantogoon GBBO
@OC_Transpo some weeks there are no problems but this week is unbelievable -- are you guys even running regular 12 buses? #awful #solate,fear,week problem week unbelievable guy run regular 12 bus awful solate
History repeating itself..GAA is our culture how dare anyone think it's ok to discourage any Irish person from attending any match or final,sadness,history repeat GAA culture dare think ok discourage irish person attend match final
"@HebertofNH any time a man who got paid to throw temper tantrums speaks up, you gotta listen.",anger,time man got pay throw temper tantrum speak got ta listen
@FoxNews @SheriffClarke @FoxNewsInsider This man is an affront to our justice system.,anger,man affront justice system
@Zen1dfabflake You are all our angelic comrades! #flutter,fear,angelic comrade flutter
"@TMobileHelp my service is down in Cleveland, OH. What's going on? #unhappy",sadness,service Cleveland oh go unhappy
@jimadair3 Guitar shop owners everywhere rejoice,joy,Guitar shop owner rejoice
Day 3 of #harvest16 - listening to the sound of the chopper working it's way closer to home at @mountaindairy makes me #happy. #farm365,joy,day 3 harvest16 listen sound chopper work way close home make happy farm365
I'm not saying he might be like big foot but it might be like natural biological father says blood boiling if he cross,anger,say like big foot like natural biological father say blood boiling cross
@metrotrains why is there no disabled access at pontefract monkhill? #terrible,fear,disabled access pontefract monkhill terrible
"@JoshuaLenon I trust you know that I appreciate your willingness to explain the details, and my attempt at levity is just that. @bobambrogi",joy,trust know appreciate willingness explain detail attempt levity
Has anyone noticed that @npr stories in recent days all paint positive accomplishments for Trump and challenges for Hillary? #surprised ,sadness,notice story recent day paint positive accomplishment Trump challenge Hillary surprised
Forever angry that gh ruined Molly and morgan's bond/friendship #bitter,anger,forever angry gh ruin Molly morgan bond friendship bitter
My friend just messaged me 'ugh I'm so hungry I can't wait for breakfast' #socialmedia #WineWednesday  #funny #laughing ,joy,friend message ugh hungry wait breakfast socialmedia WineWednesday funny laugh
Been working in Blanchardstown shopping centre for over 2 years now and I only figured out today where Marks &amp; Spencer's is ,sadness,work Blanchardstown shopping centre 2 year figure today Marks amp Spencer
i'm doing laundry and watching that 70's show with a bunch of strangers. #happy #birthday #to #me,joy,laundry watch 70 bunch stranger happy birthday
@rsiereilly my heart did the flutter,fear,heart flutter
Honestly I've come to a place where I keep getting discouraged but just gotta tell myself to keep pushing through it.,sadness,honestly come place getting discourage get ta tell push
i stopped watching gotham cause they dropped off tabitha and barb's relationship and made her pine after the main,sadness,stop watch gotham cause drop tabitha barb relationship pine main
@FraserKeegan just had a steak pie supper ,fear,steak pie supper
